dataset	bialsites_avg	bialsites_std	sf_avg	sf_std	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	Wald_avg	Wald_std	piA_avg	piA_std	piB_avg	piB_std	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	minDivAB_avg	minDivAB_std	maxDivAB_avg	maxDivAB_std	Gmin_avg	Gmin_std	Gmax_avg	Gmax_std	FST_avg	FST_std	corr_pi	corr_dAB_FST	corr_dnAB_FST
chi_txn	39.498	27.988	0.862	1.962	20.641	15.484	11.654	10.564	6.340	7.360	-7.941	4.677	0.0259782	0.0171370	0.0198576	0.0167109	0.0300026	0.0173019	0.0203275	0.0154119	-0.6065261	0.6822711	-0.1954266	0.9387692	0.0385966	0.0232429	0.0156787	0.0128299	0.0100584	0.0112602	0.0817073	0.0470555	0.2305094	0.1979189	2.3727325	1.1012313	0.2657227	0.1593790	0.6968791	0.0995440	0.6021305
chi_vul	39.263	26.723	1.240	3.425	18.141	13.179	11.213	9.250	8.669	9.908	-6.959	6.963	0.0258739	0.0174468	0.0238868	0.0177640	0.0296740	0.0171490	0.0222374	0.0156493	-0.6010603	0.6760592	0.2198502	0.8990086	0.0414737	0.0217210	0.0165933	0.0141092	0.0099932	0.0124700	0.0824187	0.0403388	0.2128482	0.2226911	2.1704184	0.7913888	0.2721335	0.1988676	0.7965186	0.0920441	0.7365897
chi_zel	36.314	25.746	0.132	0.382	10.699	7.950	9.234	7.167	16.247	13.720	-9.000	0.000	0.0249526	0.0164801	0.0245164	0.0158761	0.0292554	0.0165011	0.0275078	0.0155895	-0.6565359	0.6488560	-0.4854871	0.7020810	0.0271520	0.0167711	0.0024175	0.0029844	0.0020635	0.0037219	0.0670415	0.0369630	0.0607141	0.1023652	2.7805576	1.1417635	0.0543305	0.0732897	0.9221331	-0.0732703	0.7582853
flo_mal	36.792	26.148	1.444	4.063	8.780	8.037	17.009	13.678	9.558	11.158	-6.750	7.515	0.0194404	0.0173625	0.0248905	0.0172636	0.0204221	0.0159802	0.0285044	0.0171720	-0.3515333	0.9651156	-0.5600599	0.7196649	0.0385533	0.0202312	0.0163879	0.0146219	0.0089571	0.0124843	0.0781123	0.0411944	0.2080644	0.2420164	2.2174894	0.9370125	0.3031578	0.2314077	0.7675215	0.0775802	0.7476501
flo_ros	35.851	26.345	1.478	4.345	11.348	9.985	15.194	12.857	7.831	9.387	-7.102	6.660	0.0209366	0.0176078	0.0248217	0.0185053	0.0216980	0.0159530	0.0252242	0.0167094	-0.2740700	0.9580321	-0.1677803	0.8726884	0.0425346	0.0225519	0.0196554	0.0139826	0.0118300	0.0130360	0.0820856	0.0412824	0.2653285	0.2527998	2.1317490	1.0070013	0.3370303	0.2167246	0.6908985	-0.0332398	0.6132727
flo_txn	28.970	24.845	0.127	0.400	8.981	8.319	8.937	10.318	10.923	12.316	-9.000	0.000	0.0200485	0.0170160	0.0197712	0.0171268	0.0208129	0.0154255	0.0199756	0.0153023	-0.2938267	0.9197654	-0.1781766	0.9606058	0.0246841	0.0194870	0.0047743	0.0060320	0.0023592	0.0047999	0.0616352	0.0381039	0.0677205	0.1182968	3.3325427	2.2709240	0.1106818	0.1085623	0.8240349	0.0885328	0.6463360
flo_vul	34.010	25.032	1.622	4.181	11.908	10.427	12.907	10.980	7.571	9.144	-6.590	7.116	0.0207360	0.0175498	0.0239882	0.0172386	0.0217512	0.0162453	0.0224614	0.0153277	-0.3368372	0.9093866	0.2163220	0.8988332	0.0419171	0.0221151	0.0195550	0.0140476	0.0120115	0.0133357	0.0796575	0.0405462	0.2671290	0.2527395	2.0548539	0.7494084	0.3407672	0.2163697	0.7094635	-0.0175303	0.6314087
flo_zel	38.229	26.455	0.730	1.853	11.328	9.516	18.634	14.312	7.536	8.042	-8.204	4.267	0.0215644	0.0183104	0.0262487	0.0158853	0.0220797	0.0167868	0.0290116	0.0155826	-0.2342146	0.9479707	-0.4317837	0.6765651	0.0403243	0.0231804	0.0164177	0.0122291	0.0092974	0.0105107	0.0827658	0.0454803	0.2037790	0.1889904	2.2640094	0.8985003	0.2682961	0.1512503	0.6742684	0.0729369	0.5909171
mal_ros	39.661	27.303	0.632	2.532	17.399	13.008	11.743	9.878	9.884	9.907	-8.119	4.756	0.0261549	0.0173822	0.0240903	0.0180017	0.0301012	0.0174233	0.0242888	0.0164820	-0.5762675	0.7099647	-0.1299060	0.8485168	0.0385066	0.0209758	0.0133840	0.0112310	0.0067571	0.0096051	0.0820667	0.0421603	0.1564140	0.1963116	2.3307192	0.8701380	0.2387885	0.1842520	0.7946213	-0.0219066	0.6777754
mal_txn	35.433	25.132	0.920	2.919	16.150	13.809	7.876	7.146	10.486	11.193	-7.708	5.397	0.0265689	0.0185223	0.0211210	0.0172860	0.0302239	0.0182540	0.0215398	0.0159098	-0.5547428	0.7350314	-0.1600921	0.9618205	0.0390932	0.0203080	0.0152482	0.0143085	0.0076637	0.0109483	0.0790865	0.0400492	0.1775941	0.2207732	2.2291296	1.1951907	0.2769773	0.2298116	0.7892516	0.0580543	0.7637700
mal_vul	38.302	27.383	0.569	2.163	17.659	13.886	10.538	9.186	9.537	10.034	-8.182	4.230	0.0258138	0.0176888	0.0237204	0.0171619	0.0293192	0.0174818	0.0219466	0.0148495	-0.5268310	0.7617322	0.2441151	0.9094113	0.0382482	0.0210906	0.0134812	0.0106373	0.0063678	0.0090871	0.0797288	0.0398189	0.1501793	0.1885293	2.3034713	1.0402655	0.2411694	0.1733563	0.7523106	-0.0428638	0.6330744
mal_zel	44.180	26.982	1.669	3.679	17.871	12.340	17.368	12.030	7.270	8.118	-6.296	8.158	0.0267548	0.0198112	0.0257263	0.0162613	0.0304801	0.0193919	0.0287905	0.0162074	-0.5757073	0.7288670	-0.4611145	0.6833256	0.0479499	0.0227312	0.0217093	0.0134974	0.0131140	0.0128001	0.0947681	0.0477817	0.2575871	0.2138763	2.0694652	0.6088124	0.3210801	0.1737919	0.7553567	-0.0357971	0.6478330
ros_txn	34.279	25.722	1.637	4.213	13.990	11.642	11.584	11.180	7.067	8.733	-6.932	6.712	0.0237511	0.0186846	0.0204361	0.0177517	0.0238777	0.0172160	0.0206681	0.0159786	-0.1133098	0.8809265	-0.1758541	0.9545174	0.0418007	0.0224165	0.0197071	0.0146755	0.0118789	0.0131508	0.0801484	0.0421358	0.2750403	0.2609444	2.0824716	0.8669404	0.3536733	0.2358533	0.7382715	-0.0500385	0.6315152
ros_vul	29.296	23.968	0.026	0.158	8.211	8.652	5.884	6.018	15.173	13.894	-9.000	0.000	0.0251866	0.0188468	0.0247875	0.0179866	0.0255424	0.0170406	0.0229636	0.0155560	-0.1718111	0.8589903	0.2298274	0.9125287	0.0284113	0.0200744	0.0034242	0.0042043	0.0014674	0.0034107	0.0698378	0.0404596	0.0333163	0.0746979	3.0994388	2.0948655	0.0665145	0.0764863	0.8859935	0.0475825	0.6611348
ros_zel	39.244	25.761	1.248	3.277	12.146	9.612	16.799	12.223	9.052	9.934	-6.920	6.869	0.0240572	0.0182646	0.0257303	0.0160183	0.0243248	0.0167164	0.0285955	0.0154761	-0.1517103	0.8332480	-0.4513029	0.7077686	0.0422227	0.0210163	0.0173289	0.0141809	0.0098277	0.0121157	0.0840325	0.0392067	0.2097730	0.2236356	2.1431629	0.7493598	0.2819068	0.2023688	0.7698594	0.0915959	0.7400756
txn_vul	34.102	25.521	1.437	3.978	12.162	10.687	13.269	11.567	7.234	8.968	-7.147	6.336	0.0213251	0.0183845	0.0238508	0.0177481	0.0215180	0.0165615	0.0222794	0.0153553	-0.1623234	0.9397575	0.1703099	0.8803658	0.0416899	0.0221849	0.0191019	0.0136941	0.0114424	0.0121001	0.0796756	0.0431403	0.2606234	0.2445914	2.0785628	0.9634517	0.3381187	0.2217509	0.7220418	-0.0502695	0.6237948
txn_zel	40.363	27.342	0.920	2.139	12.254	10.505	20.391	14.652	6.796	7.680	-7.817	5.075	0.0211781	0.0179834	0.0261877	0.0163670	0.0212538	0.0163386	0.0291485	0.0159821	-0.1553521	0.9800104	-0.4685071	0.6998187	0.0403817	0.0239866	0.0166988	0.0130755	0.0105446	0.0115573	0.0822087	0.0437152	0.2309206	0.1961973	2.3086239	1.2374225	0.2717140	0.1571118	0.6992496	0.0972490	0.5971395
vul_zel	38.758	26.339	1.194	2.988	10.987	8.727	17.186	12.776	9.390	10.568	-7.146	6.391	0.0248011	0.0185171	0.0260274	0.0163448	0.0231584	0.0164127	0.0289456	0.0159913	0.2043403	0.8997810	-0.4496124	0.6946636	0.0424761	0.0219607	0.0170619	0.0139816	0.0102424	0.0123895	0.0836054	0.0394973	0.2118217	0.2169488	2.1244140	0.6850254	0.2739797	0.1963630	0.7686473	0.0686825	0.7052301
