dataset bialsites_avg sf_avg sxA_avg sxB_avg ss_avg piA_avg piB_avg thetaA_avg thetaB_avg DtajA_avg DtajB_avg divAB_avg netdivAB_avg minDivAB_avg maxDivAB_avg Gmin_avg Gmax_avg FST_avg nSamA nSamB Lsyno bestModel contig start end
Hmel200031_1 25.7352941176471 0 15.4411764705882 5.14705882352941 5.14705882352941 0.0170279 0.0270898 0.0331611 0.0165806 -1.4084114 1.48611 0.0258824 0.0038235 0 0.1176471 0 4.5454544 0.0816326 20 20 34 M3 Hmel200031 4632 5215
Hmel200038_1 6.5625 0 6.5625 0 0 0.0106579 0 0.0105701 0 0.0221816 0 0.00625 0.0009211 0 0.025 0 4 0.081419 20 20 80 M3 Hmel200038 2507 2881
Hmel200049_2 13.4615384615385 0 13.4615384615385 0 0 0.0128205 0 0.0254723 0 -1.4513829 0 0.0064103 0 0 0.0384615 0 6.0000001 0.0833333 12 10 26 M3 Hmel200049 7314 8388
Hmel200050_1 15.3125 0 2.1875 6.5625 6.5625 0.0208333 0.0356579 0.016557 0.0211402 0.9083881 2.1885118 0.040625 0.0123794 0 0.075 0 1.846154 0.2173283 12 20 80 M2 Hmel200050 2574 8180
Hmel200056_3 30.2884615384615 0 16.8269230769231 10.0961538461538 3.36538461538462 0.0314777 0.0159919 0.0325234 0.0216823 -0.1024628 -0.7597532 0.0305769 0.0068421 0 0.1153846 0 3.7735851 0.1287927 20 20 52 M1 Hmel200056 4296 7064
Hmel200057_1 40.3846153846154 0 35.8974358974359 0 4.48717948717949 0.0327935 0.0101215 0.0650468 0.0072274 -1.7051882 0.7226143 0.025 0.0035425 0 0.1538462 0 6.1538463 0.0780553 20 20 39 M3 Hmel200057 2230 3141
Hmel200068_1 105 0 28.5526315789474 23.9473684210526 52.5 0.1672299 0.1721053 0.1305501 0.1231325 1.150978 1.6269557 0.1745526 0.004885 0 0.3631579 0 2.0805065 0.0145501 20 20 190 M3 Hmel200068 4153 5601
Hmel200080_1 38.8888888888889 0 7.77777777777778 15.5555555555556 15.5555555555556 0.0356725 0.0389474 0.0375826 0.0501102 -0.1619683 -0.750795 0.0404444 0.0031345 0 0.1555556 0 3.8461539 0.0413037 20 20 45 M3 Hmel200080 1383 2435
Hmel200083_2 36.8421052631579 0 18.4210526315789 4.60526315789474 13.8157894736842 0.0416897 0.017313 0.0519233 0.0296705 -0.6480155 -1.2057055 0.0325 0.0029986 0 0.131579 0 4.0485833 0.0495423 20 20 38 M3 Hmel200083 2519 3936
Hmel200084_1 37.5 0 33.3333333333333 4.16666666666667 0 0.0350877 0.0093985 0.0536894 0.0067112 -1.1677209 0.7226143 0.0369048 0.0146617 0 0.0952381 0 2.5806451 0.2526316 20 20 42 M1 Hmel200084 4 1137
Hmel200095_1 19.4444444444444 0 9.72222222222222 0 9.72222222222222 0.014425 0.0099415 0.0313188 0.0156594 -1.7190375 -0.9752421 0.012037 -0.0001462 0 0.0740741 0 6.1538458 -0.0061919 20 20 54 M3 Hmel200095 2393 4090
Hmel200106_1 8.97435897435897 4.48717948717949 4.48717948717949 0 0 0.0112708 0 0.0080629 0 0.8422753 0 0.032967 0.0273316 0.025641 0.0512821 0.7777778 1.5555557 0.71549 14 14 39 M0 Hmel200106 79 792
Hmel200108_1 23.3333333333333 0 13.6111111111111 3.88888888888889 5.83333333333333 0.0353216 0.0095322 0.0313188 0.0156594 0.4469348 -1.1972611 0.0493333 0.0269064 0 0.0888889 0 1.8018018 0.3809011 20 20 90 M3 Hmel200108 2530 2904
Hmel200132_1 7 0 0 7 0 0 0.0066667 0 0.0132456 0 -1.4513829 0.0033333 0 0 0.02 0 5.9999997 -0.3333334 20 12 50 M1 Hmel200132 1 2005
Hmel200136_1 28 0 7 21 0 0.004 0.0423529 0.0112748 0.0348883 -1.164391 0.5932412 0.0331111 0.0099346 0 0.12 0 3.6241611 0.1496316 20 18 25 M2 Hmel200136 109 969
Hmel200145_1 26.25 0 17.5 8.75 0 0.01 0.0239474 0.028187 0.0140935 -1.5128357 1.261759 0.0225 0.0055263 0 0.15 0 6.6666667 0.1430761 20 20 20 M3 Hmel200145 3 1526
Hmel201001_1 4.06976744186047 0 2.03488372093023 0 2.03488372093023 0.0072215 0.0022032 0.0065551 0.0032776 0.2383737 -0.5915502 0.0059302 0.0012179 0 0.0232558 0 3.9215688 0.1170244 20 20 86 M2 Hmel201001 1624 6882
Hmel201001_4 9.21052631578947 0 9.21052631578947 0 0 0.015374 0 0.0148352 0 0.0851429 0 0.0092105 0.0015235 0 0.0526316 0 5.7142859 0.0922625 20 20 38 M1 Hmel201001 12783 14100
Hmel201001_5 20.0381679389313 0 5.34351145038168 12.0229007633588 2.67175572519084 0.0119325 0.0128967 0.0129101 0.0236684 -0.2413095 -1.6140964 0.0727481 0.0603335 0.0076336 0.0992366 0.1049318 1.3641133 0.7136509 20 20 131 M2 Hmel201001 20479 37259
Hmel201001_6 3.64583333333333 0 1.82291666666667 1.82291666666667 0 0.0019737 0.0010417 0.0029361 0.0029361 -0.5915501 -1.1643909 0.0109375 0.0094298 0 0.0208333 0 1.904762 0.7623268 20 20 96 M3 Hmel201001 42042 52911
Hmel201002_1 21 0 7 7 7 0.0231579 0.0147368 0.0225496 0.0225496 0.0632526 -0.812352 0.0198 0.0008526 0 0.08 0 4.040404 0.0225564 20 20 25 M3 Hmel201002 28194 32348
Hmel201002_100 10.5496453900709 0 5.58510638297872 4.9645390070922 0 0.0064203 0.0036767 0.0089958 0.0079963 -0.9845767 -1.8206422 0.0054965 0.0004479 0 0.0425532 0 7.7419358 0.0435196 20 20 282 M3 Hmel201002 2183161 2187939
Hmel201002_101 23.2788798133022 0 12.2520420070012 6.12602100350058 4.90081680280047 0.0187251 0.0157035 0.0276278 0.0177607 -1.3185697 -0.4675338 0.0194574 0.0022431 0.0011669 0.0583431 0.05997 2.9985008 0.0626383 20 20 857 M3 Hmel201002 2251340 2278096
Hmel201002_102 21 0 7 12.25 1.75 0.0076842 0.0239474 0.0140935 0.0225496 -1.3915175 0.2089209 0.0192 0.0033842 0 0.07 0 3.6458335 0.0988812 20 20 100 M2 Hmel201002 2281808 2287828
Hmel201002_103 25 0 0 12.5 12.5 0.0071429 0.0451128 0.0201335 0.0402671 -1.164391 0.2821536 0.03 0.0038722 0 0.1428571 0 4.7619051 0.0706326 20 20 14 M3 Hmel201002 2292466 2297190
Hmel201002_105 23.3333333333333 0 11.6666666666667 11.6666666666667 0 0.0347368 0.0350877 0.0187913 0.0187913 1.5313308 1.5650277 0.0633333 0.0284211 0 0.1333333 0 2.1052633 0.2945186 20 20 15 M2 Hmel201002 2298289 2299246
Hmel201002_106 15.2173913043478 0 7.60869565217391 7.60869565217391 0 0.0043478 0.008238 0.0122552 0.0122552 -1.164391 -0.5915502 0.0065217 0.0002288 0 0.0869565 0 13.3333328 0.0183067 20 20 23 M3 Hmel201002 2301428 2302645
Hmel201002_107 23.3925549915398 0 7.69881556683587 6.81049069373942 8.88324873096447 0.0208567 0.0185146 0.0267085 0.0252776 -0.8855442 -1.0791608 0.0215821 0.0018964 0 0.0659898 0 3.0576242 0.0470772 20 20 591 M3 Hmel201002 2302954 2316467
Hmel201002_108 3.125 0 0 3.125 0 0 0.0047932 0 0.0050334 0 -0.0861024 0.0026786 0.000282 0 0.0178571 0 6.6666674 0.056899 20 20 56 M3 Hmel201002 2356198 2364759
Hmel201002_109 46.6666666666667 0 23.3333333333333 23.3333333333333 0 0.0133333 0.0133333 0.0375826 0.0375826 -1.5128357 -1.5128357 0.0133333 0 0 0.2 0 14.9999999 0 20 20 15 M2 Hmel201002 2375121 2378678
Hmel201002_112 30.625 0 8.75 13.125 8.75 0.0251316 0.0311842 0.028187 0.0352337 -0.3138005 -0.3516741 0.041 0.0128421 0 0.1 0 2.4390246 0.1895513 20 20 40 M3 Hmel201002 2511939 2513521
Hmel201002_114 25 0 16.6666666666667 0 8.33333333333333 0.0185464 0.018797 0.0402671 0.0134224 -1.4407064 0.7226143 0.0202381 0.0015664 0 0.0952381 0 4.7058827 0.0412474 20 20 21 M1 Hmel201002 2523512 2524496
Hmel201002_115 17.5 0 5.83333333333333 2.91666666666667 8.75 0.0137719 0.0066667 0.0234891 0.0187913 -1.2658222 -1.8678776 0.0105833 0.000364 0 0.0666667 0 6.2992133 0.0179402 20 20 60 M3 Hmel201002 2527406 2528656
Hmel201002_118 44.2307692307692 1.92307692307692 23.0769230769231 15.3846153846154 3.84615384615385 0.0290341 0.0388664 0.0433646 0.0309747 -1.2097193 0.8909459 0.0556044 0.0216541 0.021978 0.1208791 0.3952569 2.1739131 0.2464698 20 20 91 M0 Hmel201002 2555936 2564609
Hmel201002_119 23.8636363636364 0 11.9318181818182 7.95454545454545 3.97727272727273 0.0169856 0.0188995 0.0256245 0.0192184 -0.9759726 -0.0443136 0.01875 0.0008074 0 0.0681818 0 3.6363636 0.0225564 20 20 44 M2 Hmel201002 2565718 2567349
Hmel201002_12 10.9375 0 10.9375 0 0 0.0167763 0 0.0176168 0 -0.0861022 0 0.009375 0.0009868 0 0.0625 0 6.6666664 0.056899 20 20 16 M1 Hmel201002 418341 426676
Hmel201002_14 11.8778280542986 0 7.9185520361991 1.58371040723982 2.37556561085973 0.0174089 0.0088593 0.0165806 0.0063771 0.1812195 1.1909508 0.0188235 0.0056894 0 0.0497738 0 2.6442309 0.1817663 20 20 221 M1 Hmel201002 454380 458070
Hmel201002_20 19.811320754717 0 9.90566037735849 3.30188679245283 6.60377358490566 0.0285005 0.0122145 0.0265915 0.0159549 0.2196686 -0.6261438 0.0381132 0.0177557 0 0.1132075 0 2.9702971 0.3090485 20 20 53 M3 Hmel201002 485244 494628
Hmel201002_27 13.8157894736842 0 0 4.60526315789474 9.21052631578947 0.0240997 0.0264543 0.0148352 0.0222529 1.4642202 0.5042693 0.0306579 0.0053809 0 0.0789474 0 2.5751072 0.098423 20 20 38 M2 Hmel201002 638636 658158
Hmel201002_28 17.7536231884058 0 10.1449275362319 3.80434782608696 3.80434782608696 0.024714 0.010717 0.0224679 0.0122552 0.3545526 -0.3999917 0.0215942 0.0038787 0 0.0507246 0 2.3489933 0.1009455 20 20 138 M3 Hmel201002 715858 800827
Hmel201002_35 31.4102564102564 0 26.9230769230769 4.48717948717949 0 0.0242915 0.0048583 0.0433646 0.0072274 -1.4016732 -0.5915501 0.0153846 0.0008097 0 0.1025641 0 6.6666667 0.0277008 20 20 39 M1 Hmel201002 875606 888582
Hmel201002_37 24.609375 0 19.140625 2.734375 2.734375 0.0166941 0.0071546 0.0352337 0.0088084 -1.7734432 -0.44022 0.0123438 0.0004194 0 0.078125 0 6.3291138 0.0177176 20 20 64 M1 Hmel201002 940297 1000406
Hmel201002_38 23.3333333333333 0 23.3333333333333 0 0 0.0192982 0 0.0375826 0 -1.1407037 0 0.01 0.0003509 0 0.0666667 0 6.6666672 0.0183066 20 20 15 M1 Hmel201002 954714 959986
Hmel201002_40 17.5 0 0 17.5 0 0 0.01 0 0.028187 0 -1.5128357 0.005 0 0 0.05 0 10.0000004 1e-07 20 20 20 M3 Hmel201002 1000890 1004206
Hmel201002_42 22.5 0 8.75 11.25 2.5 0.0120677 0.0109774 0.0181202 0.0221469 -1.1486764 -1.788686 0.0337857 0.0222632 0.0071429 0.0714286 0.2114165 2.1141649 0.4976993 20 20 140 M2 Hmel201002 1010594 1016905
Hmel201002_43 20 0 5 11 4 0.0080301 0.0141955 0.0144962 0.0241603 -1.5339537 -1.5220268 0.0508571 0.0397444 0.0114286 0.0742857 0.2247191 1.4606742 0.6471517 20 20 175 M2 Hmel201002 1017397 1026740
Hmel201002_44 10.5 0 5.25 4.375 0.875 0.0070526 0.0046842 0.0098654 0.0084561 -0.937439 -1.4215086 0.0062 0.0003316 0 0.025 0 4.032258 0.0281596 20 20 200 M2 Hmel201002 1053448 1064104
Hmel201002_45 17.085798816568 0 9.31952662721893 4.65976331360947 3.10650887573965 0.0113983 0.0078169 0.0200144 0.012509 -1.6609865 -1.3842156 0.0102515 0.0006439 0 0.0473373 0 4.6176047 0.0332263 20 20 338 M3 Hmel201002 1067009 1090937
Hmel201002_46 26.3698630136986 0 8.39041095890411 5.99315068493151 11.986301369863 0.0227289 0.0276136 0.0328204 0.0289592 -1.2143975 -0.1821354 0.0252055 3.42e-05 0 0.0616438 0 2.4456523 0.0006972 20 20 292 M3 Hmel201002 1091052 1101073
Hmel201002_47 16.625 0 8.75 4.375 3.5 0.0129737 0.0074211 0.0197309 0.0126841 -1.2536606 -1.4269322 0.010875 0.0006776 0 0.045 0 4.1379313 0.0329547 20 20 200 M3 Hmel201002 1104920 1110637
Hmel201002_48 18.6797752808989 0 12.7808988764045 2.94943820224719 2.94943820224719 0.0109403 0.0089592 0.0253366 0.0095012 -2.1118662 -0.1818037 0.0124438 0.0024941 0 0.0393258 0 3.1602711 0.1139056 20 20 178 M3 Hmel201002 1111403 1116206
Hmel201002_49 30.5555555555556 0 13.8888888888889 2.77777777777778 13.8888888888889 0.0349206 0.0319967 0.0447412 0.0268447 -0.7675662 0.6116074 0.0347619 0.0013033 0 0.1111111 0 3.196347 0.0195837 20 20 63 M3 Hmel201002 1168099 1186937
Hmel201002_50 12.8048780487805 0 4.26829268292683 4.26829268292683 4.26829268292683 0.0092426 0.0089859 0.0137497 0.0137497 -0.7685719 -0.8123519 0.0090244 -8.99e-05 0 0.0731707 0 8.108108 -0.0050816 20 20 41 M3 Hmel201002 1190056 1234967
Hmel201002_52 18.0147058823529 0 9.00735294117647 3.21691176470588 5.79044117647059 0.0185372 0.0129257 0.0238346 0.014508 -0.8546614 -0.3992464 0.0161581 0.0004267 0 0.0441176 0 2.7303754 0.0137178 20 20 272 M3 Hmel201002 1238422 1253715
Hmel201002_53 16.9082125603865 0 5.91787439613527 4.22705314009662 6.76328502415459 0.0173405 0.0195271 0.0204253 0.017702 -0.5573474 0.373995 0.0205797 0.0021459 0 0.0531401 0 2.5821596 0.0563361 20 20 207 M3 Hmel201002 1274610 1357744
Hmel201002_54 21.875 0 5.46875 10.9375 5.46875 0.0174342 0.0226151 0.0176168 0.0264253 -0.0300125 -0.4594976 0.0196875 -0.0003372 0 0.0625 0 3.1746032 -0.00871 20 20 64 M3 Hmel201002 1367779 1379609
Hmel201002_55 23.3333333333333 0 17.5 5.83333333333333 0 0.0129825 0.0033333 0.028187 0.0093957 -1.4407064 -1.164391 0.0083333 0.0001754 0 0.0666667 0 8.0000009 0.0109081 20 20 30 M3 Hmel201002 1380292 1387832
Hmel201002_57 11.1363636363636 0 3.18181818181818 3.18181818181818 4.77272727272727 0.0072249 0.012823 0.0128123 0.0128123 -1.3343832 0.0025584 0.0145 0.0044761 0 0.0454545 0 3.1347962 0.1863267 20 20 110 M3 Hmel201002 1433042 1434154
Hmel201002_58 8.75 0 5.17045454545455 3.18181818181818 0.397727272727273 0.004378 0.004067 0.0089686 0.0057655 -1.873721 -1.0131158 0.0049773 0.0007548 0 0.0181818 0 3.6529679 0.0839709 20 20 440 M3 Hmel201002 1453146 1456999
Hmel201002_59 10.1744186046512 0 6.1046511627907 4.06976744186047 0 0.0034884 0.0023256 0.0098327 0.0065551 -1.7233096 -1.5128356 0.002907 0 0 0.0348837 0 12.0000006 1e-07 20 20 86 M2 Hmel201002 1458074 1534173
Hmel201002_61 9.72222222222222 0 4.86111111111111 0 4.86111111111111 0.0172515 0.0052632 0.0156594 0.0078297 0.2383735 -0.5915501 0.0163889 0.0051316 0 0.0555556 0 3.3898308 0.1894737 20 20 36 M3 Hmel201002 1543544 1577579
Hmel201002_62 18.5606060606061 0 15.9090909090909 0 2.65151515151515 0.0169856 0.004067 0.0298953 0.0042708 -1.4198115 -0.0861022 0.0115909 0.0010646 0 0.0454545 0 3.9215687 0.0493075 20 20 66 M3 Hmel201002 1606235 1618353
Hmel201002_63 11.2903225806452 0 7.05645161290323 2.82258064516129 1.41129032258065 0.0061969 0.004584 0.0136389 0.0068194 -1.738873 -0.8754997 0.0055645 0.000174 0 0.0403226 0 7.2463762 0.0162859 20 20 124 M3 Hmel201002 1617229 1627395
Hmel201002_64 16.2931034482759 0 10.2586206896552 4.22413793103448 1.81034482758621 0.0091107 0.01 0.0194393 0.0097196 -2.0189159 0.1008671 0.0108621 0.0013067 0 0.037931 0 3.4920636 0.0655335 20 20 290 M3 Hmel201002 1624402 1629235
Hmel201002_65 10.7361963190184 0 9.66257668711656 1.07361963190184 0 0.0060704 0.0031966 0.0155634 0.0017293 -2.0976005 1.5313312 0.0058282 0.0011947 0 0.0184049 0 3.1578948 0.1167837 20 20 163 M3 Hmel201002 1629399 1644789
Hmel201002_68 23.5576923076923 0 13.4615384615385 8.41346153846154 1.68269230769231 0.020496 0.0113866 0.0243926 0.0162617 -0.5493559 -0.9553795 0.0226923 0.006751 0 0.0673077 0 2.9661018 0.1784257 20 20 104 M1 Hmel201002 1652003 1656908
Hmel201002_69 23.0263157894737 0 9.21052631578947 13.8157894736842 0 0.0099723 0.0211911 0.0148352 0.0222529 -0.7685717 -0.1274321 0.0171053 0.0015235 0 0.1052632 0 6.1538464 0.0477482 20 20 38 M2 Hmel201002 1657252 1662099
Hmel201002_70 17.156862745098 0 0 13.7254901960784 3.43137254901961 0.0037152 0.022291 0.0055269 0.0276343 -0.5915501 -0.591638 0.0145098 0.0015067 0 0.0392157 0 2.7027027 0.0560891 20 20 51 M2 Hmel201002 1665503 1671360
Hmel201002_71 28.3783783783784 0 9.45945945945946 4.72972972972973 14.1891891891892 0.0223329 0.0321479 0.0380905 0.0304724 -1.2658222 0.1591792 0.027973 0.0007326 0 0.1081081 0 3.8647345 0.0136037 20 20 37 M3 Hmel201002 1669281 1677380
Hmel201002_73 19.6120689655172 0 6.03448275862069 7.54310344827586 6.03448275862069 0.0091198 0.0187387 0.0194393 0.0218692 -1.789176 -0.4922778 0.0343103 0.0203811 0 0.0862069 0 2.5125629 0.4286873 20 20 116 M2 Hmel201002 1693176 1702370
Hmel201002_74 22.8260869565217 0 15.2173913043478 7.60869565217391 0 0.0086957 0.0043478 0.0245104 0.0122552 -1.5128357 -1.164391 0.0065217 0 0 0.0869565 0 13.3333328 0 20 20 23 M3 Hmel201002 1713966 1719711
Hmel201002_75 20.7236842105263 0 9.21052631578947 9.21052631578947 2.30263157894737 0.0120499 0.0183518 0.0185441 0.0185441 -1.0715655 -0.0317223 0.0175 0.0022992 0 0.0657895 0 3.7593986 0.0719823 20 20 76 M3 Hmel201002 1736475 1741453
Hmel201002_76 27.4096385542169 0 4.21686746987952 18.9759036144578 4.21686746987952 0.0079264 0.0152822 0.0135841 0.0373562 -1.2057056 -2.0957232 0.011747 0.0001427 0 0.0843373 0 7.1794865 0.0062656 20 20 83 M2 Hmel201002 1742806 1744567
Hmel201002_78 20.7627118644068 0 5.93220338983051 11.864406779661 2.96610169491525 0.0050847 0.0224799 0.0143324 0.0238873 -1.7233096 -0.1802715 0.0160169 0.0022346 0 0.0677966 0 4.2328043 0.0767639 20 20 59 M2 Hmel201002 1794717 1802087
Hmel201002_79 18.1034482758621 0 6.03448275862069 3.01724137931034 9.05172413793103 0.0236842 0.0235935 0.0242991 0.0194393 -0.0774296 0.6186457 0.0230172 -0.0006216 0 0.0862069 0 3.7453182 -0.0136692 20 20 58 M3 Hmel201002 1814266 1816814
Hmel201002_8 25 0 12.5 12.5 0 0.0071429 0.0071429 0.0201335 0.0201335 -1.164391 -1.164391 0.0071429 0 0 0.1428571 0 20.0000008 0 20 20 14 M3 Hmel201002 338199 362241
Hmel201002_80 57.3275862068966 3.01724137931034 12.0689655172414 18.1034482758621 24.1379310344828 0.0548094 0.0775862 0.0583179 0.0680375 -0.2159566 0.5137565 0.087069 0.0208711 0.0172414 0.2241379 0.1980198 2.5742574 0.1391809 20 20 58 M3 Hmel201002 1837416 1839691
Hmel201002_83 10 0 5 5 0 0.0028571 0.0096241 0.0080534 0.0080534 -1.1643909 0.3519527 0.0242857 0.0180451 0 0.0571429 0 2.3529411 0.5972378 20 20 35 M2 Hmel201002 2000338 2002167
Hmel201002_84 37.9716981132075 1.65094339622642 14.8584905660377 13.2075471698113 8.25471698113208 0.0309831 0.0438431 0.0372281 0.0345689 -0.6140707 0.9731606 0.064717 0.0273039 0.009434 0.1415094 0.1457726 2.1865889 0.2723322 20 20 106 M1 Hmel201002 2007451 2037645
Hmel201002_85 9.21052631578947 4.60526315789474 4.60526315789474 0 0 0.0026316 0 0.0074176 0 -1.164391 0 0.0276316 0.0263158 0.0263158 0.0526316 0.952381 1.9047619 0.9111617 20 20 38 M2 Hmel201002 2038166 2044026
Hmel201002_86 9.30851063829787 7.4468085106383 1.86170212765957 0 0 0.0010638 0 0.0029986 0 -1.1643909 0 0.0430851 0.0425532 0.0425532 0.0531915 0.9876542 1.2345678 0.976205 20 20 94 M0 Hmel201002 2045324 2051129
Hmel201002_87 17.6174496644295 7.04697986577181 9.39597315436242 0.587248322147651 0.587248322147651 0.0202932 0.0012363 0.0160798 0.0018917 0.9801453 -0.812352 0.0644463 0.0536816 0.0436242 0.0872483 0.6769071 1.3538142 0.7188902 20 20 298 M2 Hmel201002 2059870 2069462
Hmel201002_88 21.0382513661202 9.24408014571949 9.8816029143898 1.91256830601093 0 0.0120506 0.0020995 0.0159161 0.0030805 -0.9539341 -1.0148854 0.0661202 0.0590452 0.0564663 0.0874317 0.8539945 1.3223139 0.8105974 20 20 549 M1 Hmel201002 2070358 2086887
Hmel201002_9 11.1918604651163 0 7.12209302325581 4.06976744186047 0 0.008063 0.0043605 0.0114714 0.0065551 -1.0876602 -1.1283884 0.0078488 0.0016371 0 0.0232558 0 2.9629629 0.1190609 20 20 344 M1 Hmel201002 379969 396513
Hmel201002_90 9.47916666666667 0 4.375 2.91666666666667 2.1875 0.005943 0.0052632 0.0105701 0.0082212 -1.5054146 -1.1830103 0.0145208 0.0089178 0 0.0333333 0 2.2955525 0.4493991 20 20 240 M3 Hmel201002 2089728 2124678
Hmel201002_92 5.14705882352941 0 5.14705882352941 0 0 0.004257 0 0.0082903 0 -1.1407037 0 0.0022059 7.74e-05 0 0.0147059 0 6.6666664 0.0183066 20 20 68 M3 Hmel201002 2146313 2152856
Hmel201002_93 17.7215189873418 0 8.86075949367089 8.86075949367089 0 0.0147901 0.0153231 0.0142719 0.0142719 0.1051245 0.2132343 0.0506329 0.0355763 0.0126582 0.0886076 0.25 1.7500001 0.5478609 20 20 79 M1 Hmel201002 2152943 2155711
Hmel201002_95 11.6666666666667 0 11.6666666666667 0 0 0.0126316 0 0.0187913 0 -0.5915501 0 0.0066667 0.0003509 0 0.0666667 0 10.0000003 0.0277008 20 20 15 M1 Hmel201002 2157436 2159710
Hmel201002_96 19.2073170731707 0 11.7378048780488 2.13414634146341 5.33536585365854 0.0255456 0.0142811 0.0274995 0.012031 -0.2640834 0.6149232 0.0226829 0.0027696 0 0.0670732 0 2.9569893 0.0665753 20 20 164 M3 Hmel201002 2159822 2171390
Hmel201002_97 5.46875 0 2.1875 0 3.28125 0.0096711 0.0070395 0.0088084 0.0052851 0.2996565 0.8866149 0.0099688 0.0016135 0 0.025 0 2.507837 0.0901074 20 20 160 M3 Hmel201002 2169479 2170927
Hmel201002_99 9.11458333333333 0 5.46875 0 3.64583333333333 0.0140899 0.0038377 0.0146807 0.0058723 -0.1231372 -0.812352 0.0097917 0.0008279 0 0.03125 0 3.1914894 0.0452197 20 20 96 M3 Hmel201002 2178745 2182740
Hmel201003_1 25 0 21.4285714285714 3.57142857142857 0 0.0156821 0.0068743 0.0345146 0.0057524 -1.7388729 0.3519525 0.0122449 0.0009667 0 0.0612245 0 5.0000001 0.0421052 20 20 49 M1 Hmel201003 34391 61280
Hmel201004_1 17.5 0 11.6666666666667 5.83333333333333 0 0.0201754 0.0089474 0.0187913 0.0093957 0.1727032 -0.0861022 0.0166667 0.0021053 0 0.0666667 0 4.0000004 0.0690251 20 20 30 M1 Hmel201004 8122 12703
Hmel201005_12 4.86111111111111 0 4.86111111111111 0 0 0.0027778 0 0.0078297 0 -1.164391 0 0.0013889 0 0 0.0277778 0 19.9999997 0 20 20 36 M3 Hmel201005 523924 529490
Hmel201005_13 42.8111587982833 0 21.0300429184549 7.51072961373391 14.2703862660944 0.0451547 0.0328439 0.0568578 0.0350825 -0.8261682 -0.2495578 0.0428112 0.0038118 0 0.0901288 0 2.1052632 0.0477311 20 20 233 M3 Hmel201005 531084 625895
Hmel201005_14 38.0434782608696 0 15.2173913043478 15.2173913043478 7.60869565217391 0.0279176 0.0407323 0.0367656 0.0367656 -0.6427675 0.288161 0.0395652 0.0052403 0 0.173913 0 4.3956045 0.0726061 20 20 23 M2 Hmel201005 592235 593910
Hmel201005_15 35 0 17.5 17.5 0 0.01 0.0189474 0.028187 0.028187 -1.164391 -0.5915501 0.015 0.0005263 0 0.2 0 13.3333338 0.0183066 20 20 10 M3 Hmel201005 594599 595080
